STUSPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
WA	5375565	02412165	Waitsburg city	2887628	0	1.115	0.000	46.269621	-118.149912
WA	5375775	02412168	Walla Walla city	33164073	84631	12.805	0.033	46.068189	-118.336438
WA	5375810	02409522	Walla Walla East CDP	3441673	0	1.329	0.000	46.051556	-118.302837
WA	5375905	02409524	Waller CDP	20508786	116246	7.918	0.045	47.204291	-122.367806
WA	5375985	02409525	Wallula CDP	271245	0	0.105	0.000	46.084700	-118.905593
WA	5376055	02409527	Walnut Grove CDP	9916480	0	3.829	0.000	45.676549	-122.606643
WA	5376125	02412178	Wapato city	3036521	0	1.172	0.000	46.443474	-120.421376
WA	5376160	02412179	Warden city	6673379	72119	2.577	0.028	46.968256	-119.051588
WA	5376195	02409530	Warm Beach CDP	10542033	335941	4.070	0.130	48.165106	-122.347701
WA	5376405	02412189	Washougal city	14039402	2275765	5.421	0.879	45.581121	-122.343055
WA	5376440	02413453	Washtucna town	1793714	0	0.693	0.000	46.753769	-118.310499
WA	5376510	02413455	Waterville town	2263599	0	0.874	0.000	47.648039	-120.070668
WA	5376615	02585051	Wauna CDP	16511571	125343	6.375	0.048	47.383066	-122.669385
WA	5376720	02413458	Waverly town	1070640	0	0.413	0.000	47.338073	-117.231197
WA	5377105	02412212	Wenatchee city	20115918	700368	7.767	0.270	47.425600	-120.328685
WA	5377297	02409547	West Clarkston-Highland CDP	7279836	0	2.811	0.000	46.402286	-117.063304
WA	5377612	02409559	West Pasco CDP	9676159	0	3.736	0.000	46.250565	-119.180074
WA	5377630	02412243	Westport city	9588318	2076237	3.702	0.802	46.891724	-124.113910
WA	5377665	02412227	West Richland city	56762360	529432	21.916	0.204	46.313808	-119.387768
WA	5377745	02409567	West Side Highway CDP	6546149	334600	2.527	0.129	46.182204	-122.912525
WA	5378155	02407783	Whidbey Island Station CDP	17143055	51172	6.619	0.020	48.348761	-122.653723
WA	5378225	02409580	White Center CDP	5805191	24032	2.241	0.009	47.509240	-122.348063
WA	5378330	02412254	White Salmon city	3161890	0	1.221	0.000	45.728261	-121.485229
WA	5378365	02409586	White Swan CDP	6907990	0	2.667	0.000	46.376978	-120.738123
WA	5378680	02413487	Wilbur town	3555652	0	1.373	0.000	47.757641	-118.714727
WA	5378780	02585052	Wilderness Rim CDP	1611934	20118	0.622	0.008	47.446975	-121.768572
WA	5378925	02413489	Wilkeson town	1215399	3269	0.469	0.001	47.101643	-122.052275
WA	5378995	02586751	Willapa CDP	719942	0	0.278	0.000	46.675447	-123.664753
WA	5379135	02413492	Wilson Creek town	2477861	0	0.957	0.000	47.422930	-119.117570
WA	5379275	02412283	Winlock city	3342436	0	1.291	0.000	46.490643	-122.934270
WA	5379380	02413503	Winthrop town	2436635	0	0.941	0.000	48.471927	-120.179027
WA	5379485	02409618	Wishram CDP	3321018	0	1.282	0.000	45.659924	-120.969746
WA	5379555	02585053	Wollochet CDP	15114092	0	5.836	0.000	47.282843	-122.577113
WA	5379590	02412298	Woodinville city	14510652	43038	5.603	0.017	47.757695	-122.146791
WA	5379625	02412301	Woodland city	8727606	277348	3.370	0.107	45.921596	-122.749826
WA	5379825	02409626	Woods Creek CDP	36342542	210169	14.032	0.081	47.877669	-121.904033
WA	5379835	02412307	Woodway city	2868533	7221528	1.108	2.788	47.795034	-122.391747
WA	5379975	02413517	Yacolt town	1295213	0	0.500	0.000	45.865266	-122.406781
WA	5380010	02412314	Yakima city	70394589	1319124	27.180	0.509	46.592211	-120.546838
WA	5380150	02413520	Yarrow Point town	941541	0	0.364	0.000	47.645272	-122.217807
WA	5380220	02412317	Yelm city	14720495	15876	5.684	0.006	46.942612	-122.643077
WA	5380500	02412331	Zillah city	4606356	0	1.779	0.000	46.408502	-120.273745
